timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency
1676659177185,1130,/us/horoscope/monthly-dating.aspx?when=last-month&sign=sagittarius,200,OK,Thread Group 1-11,text,true,63485,368,14,14,https://uat.astrology.com/us/horoscope/monthly-dating.aspx?when=last-month&sign=sagittarius,158
1676659177385,988,/us/horoscope/monthly-dating.aspx?when=last-month&sign=capricorn,200,OK,Thread Group 1-13,text,true,63275,364,14,14,https://uat.astrology.com/us/horoscope/monthly-dating.aspx?when=last-month&sign=capricorn,167
1676659177139,1269,/us/horoscope/monthly-dating.aspx?when=last-month&sign=taurus,200,OK,Thread Group 1-5,text,true,63304,358,15,15,https://uat.astrology.com/us/horoscope/monthly-dating.aspx?when=last-month&sign=taurus,159
1676659177339,1076,/us/horoscope/monthly-dating.aspx?when=last-month&sign=gemini,200,OK,Thread Group 1-2,text,true,63404,358,15,15,https://uat.astrology.com/us/horoscope/monthly-dating.aspx?when=last-month&sign=gemini,160
1676659177439,1020,/us/horoscope/index-yearly-2023.aspx,200,OK,Thread Group 1-6,text,true,62104,308,15,15,https://uat.astrology.com/us/horoscope/index-yearly-2023.aspx,158
1676659177324,1181,/us/horoscope/monthly-dating.aspx?when=last-month&sign=leo,200,OK,Thread Group 1-8,text,true,63260,352,15,15,https://uat.astrology.com/us/horoscope/monthly-dating.aspx?when=last-month&sign=leo,157
1676659177653,865,/us/horoscope/index-weekly.aspx,200,OK,Thread Group 1-3,text,true,66476,298,15,15,https://uat.astrology.com/us/horoscope/index-weekly.aspx,157
1676659177674,893,/us/horoscope/index-weekly-work.aspx,200,OK,Thread Group 1-1,text,true,71095,308,15,15,https://uat.astrology.com/us/horoscope/index-weekly-work.aspx,160
1676659178099,804,/us/horoscope/index-monthly.aspx,200,OK,Thread Group 1-4,text,true,68546,300,16,16,https://uat.astrology.com/us/horoscope/index-monthly.aspx,162
1676659178211,1054,/us/horoscope/index-monthly-work.aspx,200,OK,Thread Group 1-7,text,true,71379,310,16,16,https://uat.astrology.com/us/horoscope/index-monthly-work.aspx,160
1676659178385,884,/us/horoscope/index-daily-work.aspx,200,OK,Thread Group 1-15,text,true,72973,306,16,16,https://uat.astrology.com/us/horoscope/index-daily-work.aspx,159
1676659177890,1412,/us/horoscope/index-weekly-dating.aspx,200,OK,Thread Group 1-12,text,true,69778,312,16,16,https://uat.astrology.com/us/horoscope/index-weekly-dating.aspx,156
1676659178506,812,/us/home.aspx,200,OK,Thread Group 1-8,text,true,68309,262,16,16,https://uat.astrology.com/us/home.aspx,159
1676659177886,1463,/us/horoscope/index-weekly-love.aspx,200,OK,Thread Group 1-14,text,true,70070,308,16,16,https://uat.astrology.com/us/horoscope/index-weekly-love.aspx,155
1676659178079,1345,/us/horoscope/index-weekly-chinese.aspx,200,OK,Thread Group 1-9,text,true,71154,314,17,17,https://uat.astrology.com/us/horoscope/index-weekly-chinese.aspx,159
1676659178248,1241,/us/horoscope/index-monthly-love.aspx,200,OK,Thread Group 1-10,text,true,70272,310,17,17,https://uat.astrology.com/us/horoscope/index-monthly-love.aspx,156
1676659178316,1221,/us/horoscope/index-monthly-dating.aspx,200,OK,Thread Group 1-11,text,true,69984,314,17,17,https://uat.astrology.com/us/horoscope/index-monthly-dating.aspx,156
1676659178373,1255,/us/horoscope/index-monthly-chinese.aspx,200,OK,Thread Group 1-13,text,true,71615,316,17,17,https://uat.astrology.com/us/horoscope/index-monthly-chinese.aspx,159
1676659178408,1249,/us/horoscope/index-daily-love.aspx,200,OK,Thread Group 1-5,text,true,71781,306,17,17,https://uat.astrology.com/us/horoscope/index-daily-love.aspx,156
1676659178416,1334,/us/horoscope/index-daily-dating.aspx,200,OK,Thread Group 1-2,text,true,72326,310,17,17,https://uat.astrology.com/us/horoscope/index-daily-dating.aspx,157
1676659178518,1260,/us/feedback.aspx,200,OK,Thread Group 1-3,text,true,48358,270,17,17,https://uat.astrology.com/us/feedback.aspx,171
