elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Connect
3004,/us/horoscopes/money/index-horoscope-money-weekly.aspx,200,OK,Birthday Page - Thread Group 1-8,text,false,210199,172,17,17,https://new.horoscope.com/us/horoscopes/money/index-horoscope-money-weekly.aspx,2862,300
1366,/us/tarot/tarot-dream.aspx,200,OK,Birthday Page - Thread Group 1-16,text,true,227101,144,17,17,https://new.horoscope.com/us/tarot/tarot-dream.aspx,1226,296
1074,/us/games/divination/game-daily-karmic-number.aspx,200,OK,Birthday Page - Thread Group 1-11,text,true,209742,168,17,17,https://new.horoscope.com/us/games/divination/game-daily-karmic-number.aspx,933,283
1045,/us/games/divination/game-daily-dice.aspx,200,OK,Birthday Page - Thread Group 1-7,text,true,210915,159,17,17,https://new.horoscope.com/us/games/divination/game-daily-dice.aspx,912,263
3697,/birthday-horoscope/pisces-party,200,OK,Birthday Page - Thread Group 1-15,text,false,209520,150,17,17,https://new.horoscope.com/birthday-horoscope/pisces-party,3521,259
1242,/us/games/compatibility/game-career-compatibility.aspx,200,OK,Birthday Page - Thread Group 1-17,text,true,211680,172,17,17,https://new.horoscope.com/us/games/compatibility/game-career-compatibility.aspx,1069,257
447,/wp-content/themes/horoscope/dist/js/blocks.js?ver=0.1.3,404,Not Found,Birthday Page - Thread Group 1-9,text,false,1653,174,17,17,https://new.horoscope.com/wp-content/themes/horoscope/dist/js/blocks.js?ver=0.1.3,447,288
395,/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2,404,Not Found,Birthday Page - Thread Group 1-6,text,false,1675,177,17,17,https://new.horoscope.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2,395,234
386,/celebrities/taurus/robert-pattinson-birthday/,404,Not Found,Birthday Page - Thread Group 1-4,text,false,1578,164,17,17,https://new.horoscope.com/celebrities/taurus/robert-pattinson-birthday/,386,245
421,/images-FR/quizzes/imag-quiz_are-you-a-good-kisser.jpg,200,OK,Birthday Page - Thread Group 1-1,bin,true,17456,172,17,17,https://new.horoscope.com/images-FR/quizzes/imag-quiz_are-you-a-good-kisser.jpg,420,254
452,/celebrities/gemini/natalie-portman-birthday/,404,Not Found,Birthday Page - Thread Group 1-2,text,false,1578,163,17,17,https://new.horoscope.com/celebrities/gemini/natalie-portman-birthday/,451,287
431,/celebrities/taurus/john-cena-birthday/,404,Not Found,Birthday Page - Thread Group 1-16,text,false,1578,157,17,17,https://new.horoscope.com/celebrities/taurus/john-cena-birthday/,430,288
1498,/us/games/index-games-test-personality.aspx,200,OK,Birthday Page - Thread Group 1-3,text,true,213944,161,18,18,https://new.horoscope.com/us/games/index-games-test-personality.aspx,1363,287
1862,/article/comment-shabiller-pour-sduire.html,200,OK,Birthday Page - Thread Group 1-14,text,true,189877,158,18,18,https://new.horoscope.com/article/comment-shabiller-pour-seduire/,1718,251
1607,/us/tarot/tarot-egyptian-love.aspx,200,OK,Birthday Page - Thread Group 1-12,text,true,213664,152,18,18,https://new.horoscope.com/us/tarot/tarot-egyptian-love.aspx,1453,288
308,/images-US/upsell/love-compatibility.jpg,200,OK,Birthday Page - Thread Group 1-4,bin,true,5543,158,18,18,https://new.horoscope.com/images-US/upsell/love-compatibility.jpg,308,250
3238,/us/horoscopes/general/index-retail-therapy-horoscope.aspx,200,OK,Birthday Page - Thread Group 1-13,text,false,210170,176,18,18,https://new.horoscope.com/us/horoscopes/general/index-retail-therapy-horoscope.aspx,3103,299
818,/celebrities/gemini/morgan-freeman-birthday/,404,Not Found,Birthday Page - Thread Group 1-1,text,false,1578,162,18,18,https://new.horoscope.com/celebrities/gemini/morgan-freeman-birthday/,818,288
938,/zodiac-signs/taurus/love,200,OK,Birthday Page - Thread Group 1-2,text,true,218185,143,18,18,https://new.horoscope.com/zodiac-signs/taurus/love,803,289
1978,/us/games/calculator/game-lotto-number-generator.aspx,200,OK,Birthday Page - Thread Group 1-5,text,true,210837,171,18,18,https://new.horoscope.com/us/games/calculator/game-lotto-number-generator.aspx,1838,281
1548,/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=6,200,OK,Birthday Page - Thread Group 1-10,text,true,199180,190,18,18,https://new.horoscope.com/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=6,1428,254
1066,/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=4,200,OK,Birthday Page - Thread Group 1-18,text,true,199170,190,18,18,https://new.horoscope.com/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=4,934,296
1483,/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=8,200,OK,Birthday Page - Thread Group 1-11,text,true,199155,190,18,18,https://new.horoscope.com/fr/horoscopes/general/horoscope-general-du-jour-aujourdhui.aspx?signe=8,1341,261
