timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Connect
1676067242345,922,/us/tarot/tarot-white-magic.aspx,200,OK,Tarot Index Pages - Thread Group 1-13,text,true,,14,14,https://dev.horoscope.com/us/tarot/tarot-white-magic.aspx,172,0
1676067242434,885,/psychics/psychics.html,200,OK,Tarot Index Pages - Thread Group 1-1,text,true,,15,15,https://dev.horoscope.com/psychics/psychics.html,154,1
1676067242618,1068,/us/horoscopes/career/index-horoscope-career-daily.aspx,200,OK,Tarot Index Pages - Thread Group 1-10,text,true,,15,15,https://dev.horoscope.com/us/horoscopes/career/index-horoscope-career-daily.aspx,159,0
1676067242670,1057,/us/index.aspx,200,OK,Tarot Index Pages - Thread Group 1-7,text,true,,15,15,https://dev.horoscope.com/us/index.aspx,157,1
1676067243018,750,/images-US/upsell/2023-tarot-reading.jpg,200,OK,Tarot Index Pages - Thread Group 1-4,bin,true,,15,15,https://dev.horoscope.com/images-US/upsell/2023-tarot-reading.jpg,164,1
1676067242769,1118,/zodiac-signs/aries,200,OK,Tarot Index Pages - Thread Group 1-3,text,true,,16,16,https://dev.horoscope.com/zodiac-signs/aries,156,1
1676067242770,1317,/us/tos.aspx,200,OK,Tarot Index Pages - Thread Group 1-5,text,true,,16,16,https://dev.horoscope.com/us/tos.aspx,163,0
1676067243306,811,/astrology/,404,Not Found,Tarot Index Pages - Thread Group 1-15,text,false,Test failed: code expected not to contain /404/,16,16,https://dev.horoscope.com/astrology/,339,11
1676067242834,1286,/zodiac-signs/cancer,200,OK,Tarot Index Pages - Thread Group 1-11,text,true,,16,16,https://dev.horoscope.com/zodiac-signs/cancer,158,1
1676067242969,1179,/us/horoscopes/yearly/2023-horoscope-overview.aspx,200,OK,Tarot Index Pages - Thread Group 1-12,text,true,,16,16,https://dev.horoscope.com/us/horoscopes/yearly/2023-horoscope-overview.aspx,159,1
1676067242825,1344,/psychics/love.html,200,OK,Tarot Index Pages - Thread Group 1-14,text,true,,16,16,https://dev.horoscope.com/psychics/love.html,154,0
1676067243121,1147,/us/tarot/tarot-zen.aspx,200,OK,Tarot Index Pages - Thread Group 1-6,text,true,,17,17,https://dev.horoscope.com/us/tarot/tarot-zen.aspx,159,0
