timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676056356954,861,uat,200,OK,Thread Group 1-93,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056357154,905,uat,200,OK,Thread Group 1-94,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056357353,905,uat,200,OK,Thread Group 1-95,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056357552,873,uat,200,OK,Thread Group 1-96,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,153,0,0
1676056357753,876,uat,200,OK,Thread Group 1-97,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056357950,889,uat,200,OK,Thread Group 1-98,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056358150,876,uat,200,OK,Thread Group 1-99,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056358352,890,uat,200,OK,Thread Group 1-100,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,153,0,0
1676056358550,873,uat,200,OK,Thread Group 1-101,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,155,0,1
1676056358752,874,uat,200,OK,Thread Group 1-102,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,162,0,1
1676056359153,882,uat,200,OK,Thread Group 1-104,true,68786,369,6,6,https://uat.astrology.com/us/home.aspx,157,0,0
1676056358953,1205,uat,200,OK,Thread Group 1-103,true,68792,369,6,6,https://uat.astrology.com/us/home.aspx,158,0,1
1676056359352,922,uat,200,OK,Thread Group 1-105,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056359552,933,uat,200,OK,Thread Group 1-106,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056359752,939,uat,200,OK,Thread Group 1-107,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056359951,870,uat,200,OK,Thread Group 1-108,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056360148,916,uat,200,OK,Thread Group 1-109,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,0
1676056360351,905,uat,200,OK,Thread Group 1-110,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056360553,882,uat,200,OK,Thread Group 1-111,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,1
1676056360753,862,uat,200,OK,Thread Group 1-112,true,68785,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056360955,891,uat,200,OK,Thread Group 1-113,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,1
1676056361149,992,uat,200,OK,Thread Group 1-114,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056361350,862,uat,200,OK,Thread Group 1-115,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056361553,898,uat,200,OK,Thread Group 1-116,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,155,0,1
1676056361749,909,uat,200,OK,Thread Group 1-117,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056361952,896,uat,200,OK,Thread Group 1-118,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056362152,928,uat,200,OK,Thread Group 1-119,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,167,0,0
1676056362350,887,uat,200,OK,Thread Group 1-120,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,180,0,8
1676056362552,957,uat,200,OK,Thread Group 1-121,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,153,0,0
1676056362748,881,uat,200,OK,Thread Group 1-122,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056362952,875,uat,200,OK,Thread Group 1-123,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,161,0,0
1676056363153,1075,uat,200,OK,Thread Group 1-124,true,68785,369,6,6,https://uat.astrology.com/us/home.aspx,155,0,1
1676056363353,895,uat,200,OK,Thread Group 1-125,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056363752,961,uat,200,OK,Thread Group 1-127,true,68787,369,6,6,https://uat.astrology.com/us/home.aspx,162,0,0
1676056363549,1268,uat,200,OK,Thread Group 1-126,true,68792,369,6,6,https://uat.astrology.com/us/home.aspx,158,0,0
1676056363952,902,uat,200,OK,Thread Group 1-128,true,68785,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056364149,961,uat,200,OK,Thread Group 1-129,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056364348,898,uat,200,OK,Thread Group 1-130,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056364548,878,uat,200,OK,Thread Group 1-131,true,68792,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,1
1676056364950,895,uat,200,OK,Thread Group 1-133,true,68791,369,6,6,https://uat.astrology.com/us/home.aspx,157,0,1
1676056364753,1095,uat,200,OK,Thread Group 1-132,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056365153,981,uat,200,OK,Thread Group 1-134,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056365352,917,uat,200,OK,Thread Group 1-135,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056365551,878,uat,200,OK,Thread Group 1-136,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056365749,900,uat,200,OK,Thread Group 1-137,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,0
1676056365953,902,uat,200,OK,Thread Group 1-138,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056366153,889,uat,200,OK,Thread Group 1-139,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,0
1676056366351,884,uat,200,OK,Thread Group 1-140,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056366550,890,uat,200,OK,Thread Group 1-141,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,0
1676056366752,886,uat,200,OK,Thread Group 1-142,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056366953,894,uat,200,OK,Thread Group 1-143,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,152,0,0
1676056367149,890,uat,200,OK,Thread Group 1-144,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,155,0,0
1676056367349,891,uat,200,OK,Thread Group 1-145,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,1
1676056367552,1067,uat,200,OK,Thread Group 1-146,true,68797,369,6,6,https://uat.astrology.com/us/home.aspx,161,0,0
1676056367748,889,uat,200,OK,Thread Group 1-147,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,1
1676056367953,915,uat,200,OK,Thread Group 1-148,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,1
1676056368150,1104,uat,200,OK,Thread Group 1-149,true,68787,369,6,6,https://uat.astrology.com/us/home.aspx,157,0,0
1676056368354,913,uat,200,OK,Thread Group 1-150,true,68792,369,5,5,https://uat.astrology.com/us/home.aspx,160,0,1
1676056368553,868,uat,200,OK,Thread Group 1-151,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056368754,903,uat,200,OK,Thread Group 1-152,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,0
1676056368950,916,uat,200,OK,Thread Group 1-153,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,157,0,0
1676056369154,986,uat,200,OK,Thread Group 1-154,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,165,0,0
1676056369353,866,uat,200,OK,Thread Group 1-155,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,2
1676056369554,956,uat,200,OK,Thread Group 1-156,true,68789,369,5,5,https://uat.astrology.com/us/home.aspx,156,0,0
1676056369752,885,uat,200,OK,Thread Group 1-157,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,162,0,0
1676056369952,915,uat,200,OK,Thread Group 1-158,true,68792,369,5,5,https://uat.astrology.com/us/home.aspx,158,0,1
1676056370149,935,uat,200,OK,Thread Group 1-159,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,1
1676056370350,892,uat,200,OK,Thread Group 1-160,true,68793,369,5,5,https://uat.astrology.com/us/home.aspx,153,0,0
1676056370553,893,uat,200,OK,Thread Group 1-161,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056370749,933,uat,200,OK,Thread Group 1-162,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,188,0,2
1676056370953,899,uat,200,OK,Thread Group 1-163,true,68791,369,5,5,https://uat.astrology.com/us/home.aspx,159,0,0
1676056371150,891,uat,200,OK,Thread Group 1-164,true,68790,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056371353,948,uat,200,OK,Thread Group 1-165,true,68788,369,5,5,https://uat.astrology.com/us/home.aspx,154,0,0
1676056371750,1110,uat,200,OK,Thread Group 1-167,true,68788,369,7,7,https://uat.astrology.com/us/home.aspx,158,0,0
1676056371951,959,uat,200,OK,Thread Group 1-168,true,68786,369,6,6,https://uat.astrology.com/us/home.aspx,161,0,1
1676056371550,1539,uat,200,OK,Thread Group 1-166,true,68792,369,6,6,https://uat.astrology.com/us/home.aspx,156,0,0
1676056372154,964,uat,200,OK,Thread Group 1-169,true,68786,369,5,5,https://uat.astrology.com/us/home.aspx,162,0,1
1676056372354,922,uat,200,OK,Thread Group 1-170,true,68785,369,5,5,https://uat.astrology.com/us/home.aspx,166,0,1
1676056372552,1097,uat,200,OK,Thread Group 1-171,true,68788,369,6,6,https://uat.astrology.com/us/home.aspx,155,0,1
1676056372753,918,uat,200,OK,Thread Group 1-172,true,68787,369,5,5,https://uat.astrology.com/us/home.aspx,173,0,0
1676056372970,1119,uat,200,OK,Thread Group 1-173,true,68789,369,6,6,https://uat.astrology.com/us/home.aspx,181,0,0
